番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考
64,2中1小2班,第2班,2中1小,,小銃手,主務,陸,士長,黒田 涼,男,
65,2中1小2班,第2班,2中1小,,小銃手,主務,陸,2士,浅野 剛,男,
66,2中2小,第2小隊,第2中隊,,小隊長,主務,陸,2尉,金子 大樹,男,
67,2中2小,第2小隊,第2中隊,assistant,小隊陸曹,主務,陸,1曹,星野 誠,男,
68,2中2小1班,第1班,2中2小,,班長,主務,陸,2曹,大野 拓海,男,
69,2中2小1班,第1班,2中2小,,小銃手,主務,陸,3曹,川島 裕,男,
70,2中2小1班,第1班,2中2小,,小銃手,主務,陸,士長,高田 美海,女,
71,2中2小1班,第1班,2中2小,,小銃手,主務,陸,1士,松浦 剛,男,
72,2中2小2班,第2班,2中2小,,班長,主務,陸,2曹,神谷 健太,男,
73,2中2小2班,第2班,2中2小,,小銃手,主務,陸,3曹,片山 慎吾,男,
74,2中2小2班,第2班,2中2小,,小銃手,主務,陸,士長,福田 翔,男,
75,2中2小2班,第2班,2中2小,,小銃手,主務,陸,2士,馬場 太陽,男,
76,2中2小2班,第2班,2中2小,assistant,情報指導,兼務,陸,2尉,加藤 健,男,情報小隊長兼務
77,第3中隊,第3中隊,第1連隊,,中隊長,主務,陸,3佐,宮崎 勇,男,
78,3中副中隊長,副中隊長,第3中隊,assistant,副中隊長,主務,陸,1尉,小西 修,男,
79,3中最先任,最先任,第3中隊,assistant,最先任,主務,陸,曹長,内山 茂,男,
80,3中1小,第1小隊,第3中隊,,小隊長,主務,陸,2尉,秋山 健,男,
81,3中1小,第1小隊,第3中隊,assistant,小隊陸曹,主務,陸,1曹,原田 翔,男,
82,3中1小1班,第1班,3中1小,,班長,主務,陸,2曹,酒井 慎太郎,男,
83,3中1小1班,第1班,3中1小,,小銃手,主務,陸,3曹,篠原 航,男,
84,3中1小1班,第1班,3中1小,,小銃手,主務,陸,士長,市川 陸,男,
85,3中1小1班,第1班,3中1小,,小銃手,主務,陸,1士,大西 太陽,男,
86,3中1小2班,第2班,3中1小,,班長,主務,陸,2曹,五十嵐 健,男,
87,3中1小2班,第2班,3中1小,,小銃手,主務,陸,3曹,工藤 翔太,男,
88,3中1小2班,第2班,3中1小,,小銃手,主務,陸,士長,山根 涼,男,
89,3中1小2班,第2班,3中1小,,小銃手,主務,陸,2士,河野 剛,男,
90,3中2小,第2小隊,第3中隊,,小隊長,主務,陸,3尉,久保 大樹,男,
91,3中2小,第2小隊,第3中隊,assistant,小隊陸曹,主務,陸,1曹,松村 誠,男,
92,3中2小1班,第1班,3中2小,,班長,主務,陸,2曹,野口 拓海,男,
93,3中2小1班,第1班,3中2小,,小銃手,主務,陸,3曹,森 裕,男,
94,3中2小1班,第1班,3中2小,,小銃手,主務,陸,士長,大橋 美海,女,
95,3中2小1班,第1班,3中2小,,小銃手,主務,陸,1士,山口 剛,男,
96,3中2小2班,第2班,3中2小,,班長,主務,陸,2曹,小野 健太,男,
97,3中2小2班,第2班,3中2小,,小銃手,主務,陸,3曹,石川 慎吾,男,
98,3中2小2班,第2班,3中2小,,小銃手,主務,陸,士長,中田 翔,男,
99,3中2小2班,第2班,3中2小,,小銃手,主務,陸,2士,高木 太陽,男,
100,3中2小2班,第2班,3中2小,,支援,主務,陸,1士,西山 歩,男,
101,3中2小2班,第2班,3中2小,,支援,主務,陸,1士,白石 誠,男,
