番号,部隊コード,部隊名,上級部隊コード,配置区分,役職,所属区分,軍種,階級,氏名,性別,備考,不在,理由等,その他
48,1Co2Pt1Sq,第1班,1Co2Pt,,小銃手,主務,陸,1士,平野 剛,男,,,,
49,1Co2Pt2Sq,第2班,1Co2Pt,,班長,主務,陸,2曹,辻 健太,男,,,,
50,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,3曹,菊地 慎吾,男,,,,
51,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,士長,武田 翔,男,,年休,,
52,1Co2Pt2Sq,第2班,1Co2Pt,,小銃手,主務,陸,2士,新井 太陽,男,,,,
53,2Co,第2中隊,1i,,中隊長,主務,陸,1尉,千葉 勇,男,,,,
54,2Co_Dep,副中隊長,2Co,assistant,副中隊長,主務,陸,2尉,五十嵐 修,男,,,,
55,2Co_CSM,最先任,2Co,assistant,最先任,主務,陸,１曹,松尾 茂,男,,,,
56,2Co1Pt,第1小隊,2Co,,小隊長,主務,陸,3尉,木下 健,男,,,,
57,2Co1Pt,第1小隊,2Co,assistant,小隊陸曹,主務,陸,1曹,荒木 翔,男,,,,
58,2Co1Pt1Sq,第1班,2Co1Pt,,班長,主務,陸,2曹,吉川 慎太郎,男,,,,
59,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,3曹,櫻井 航,男,,,,
60,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,士長,熊谷 陸,男,,,,
61,2Co1Pt1Sq,第1班,2Co1Pt,,小銃手,主務,陸,1士,大塚 太陽,男,,,,
62,2Co1Pt2Sq,第2班,2Co1Pt,,班長,主務,陸,2曹,安藤 健,男,,,,
63,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,3曹,水野 翔太,男,,,,
64,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,士長,黒田 涼,男,,,,
65,2Co1Pt2Sq,第2班,2Co1Pt,,小銃手,主務,陸,2士,浅野 剛,男,,,,
66,2Co2Pt,第2小隊,2Co,,小隊長,主務,陸,2尉,金子 大樹,男,,,,
67,2Co2Pt,第2小隊,2Co,assistant,小隊陸曹,主務,陸,1曹,星野 誠,男,,,,
68,2Co2Pt1Sq,第1班,2Co2Pt,,班長,主務,陸,2曹,大野 拓海,男,,,,
69,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,3曹,川島 裕,男,,,,
70,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,士長,高田 美海,女,,,,
71,2Co2Pt1Sq,第1班,2Co2Pt,,小銃手,主務,陸,1士,松浦 剛,男,,出張,現地偵察,
72,2Co2Pt2Sq,第2班,2Co2Pt,,班長,主務,陸,2曹,神谷 健太,男,,,,
73,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,3曹,片山 慎吾,男,,,,
74,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,士長,福田 翔,男,,,,
75,2Co2Pt2Sq,第2班,2Co2Pt,,小銃手,主務,陸,2士,馬場 太陽,男,,,,
76,2Co2Pt2Sq,第2班,2Co2Pt,assistant,情報指導,兼務,陸,2尉,加藤 健,男,情報小隊長兼務,年休,家族旅行,
77,3Co,第3中隊,1i,,中隊長,主務,陸,3佐,宮崎 勇,男,,,,
78,3Co_Dep,副中隊長,3Co,assistant,副中隊長,主務,陸,1尉,小西 修,男,,,,
79,3Co_CSM,最先任,3Co,assistant,最先任,主務,陸,曹長,内山 茂,男,,,,
80,3Co1Pt,第1小隊,3Co,,小隊長,主務,陸,2尉,秋山 健,男,,,,
81,3Co1Pt,第1小隊,3Co,assistant,小隊陸曹,主務,陸,1曹,原田 翔,男,,,,
82,3Co1Pt1Sq,第1班,3Co1Pt,,班長,主務,陸,2曹,酒井 慎太郎,男,,,,
83,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,3曹,篠原 航,男,,,,
84,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,士長,市川 陸,男,,,,
85,3Co1Pt1Sq,第1班,3Co1Pt,,小銃手,主務,陸,1士,大西 太陽,男,,,,
86,3Co1Pt2Sq,第2班,3Co1Pt,,班長,主務,陸,2曹,五十嵐 健,男,,,,
87,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,3曹,工藤 翔太,男,,,,
88,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,士長,山根 涼,男,,,,
89,3Co1Pt2Sq,第2班,3Co1Pt,,小銃手,主務,陸,2士,河野 剛,男,,,,
90,3Co2Pt,第2小隊,3Co,,小隊長,主務,陸,3尉,久保 大樹,男,,,,
91,3Co2Pt,第2小隊,3Co,assistant,小隊陸曹,主務,陸,1曹,松村 誠,男,,,,
92,3Co2Pt1Sq,第1班,3Co2Pt,,班長,主務,陸,2曹,野口 拓海,男,,,,
93,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,3曹,森 裕,男,,,,
94,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,士長,大橋 美海,女,,,,
95,3Co2Pt1Sq,第1班,3Co2Pt,,小銃手,主務,陸,1士,山口 剛,男,,,,
96,3Co2Pt2Sq,第2班,3Co2Pt,,班長,主務,陸,2曹,小野 健太,男,,,,
97,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,3曹,石川 慎吾,男,,,,
98,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,士長,中田 翔,男,,,,
99,3Co2Pt2Sq,第2班,3Co2Pt,,小銃手,主務,陸,2士,高木 太陽,男,,,,
100,3Co2Pt2Sq,第2班,3Co2Pt,,支援,主務,陸,1士,西山 歩,男,,,,
101,3Co2Pt2Sq,第2班,3Co2Pt,,支援,主務,陸,1士,白石 誠,男,,,,
